measure,year,crime_code,name_en,level,age,sex,cases,is_age_total,comparable_band,share,rate_per_10000
victims,2019,3.4,Child pornography,2,31-40,U,0,f,t,0.000000,
victims,2019,3.4,Child pornography,2,41-64,M,1,f,t,0.040000,
victims,2019,3.4,Child pornography,2,41-64,F,4,f,t,0.160000,
victims,2019,3.4,Child pornography,2,41-64,U,0,f,t,0.000000,
victims,2019,3.4,Child pornography,2,65+,M,0,f,t,0.000000,
victims,2019,3.4,Child pornography,2,65+,F,0,f,t,0.000000,
victims,2019,3.4,Child pornography,2,65+,U,0,f,t,0.000000,
victims,2019,3.4,Child pornography,2,U,M,0,f,f,0.000000,
victims,2019,3.4,Child pornography,2,U,F,0,f,f,0.000000,
victims,2019,3.4,Child pornography,2,U,U,0,f,f,0.000000,
victims,2019,3.5,Other offences against sexual freedom,2,0-13,M,49,f,f,0.153125,
victims,2019,3.5,Other offences against sexual freedom,2,0-13,F,77,f,f,0.240625,
victims,2019,3.5,Other offences against sexual freedom,2,0-13,U,2,f,f,0.006250,
victims,2019,3.5,Other offences against sexual freedom,2,14-17,M,14,f,t,0.043750,
victims,2019,3.5,Other offences against sexual freedom,2,14-17,F,77,f,t,0.240625,
victims,2019,3.5,Other offences against sexual freedom,2,14-17,U,0,f,t,0.000000,
victims,2019,3.5,Other offences against sexual freedom,2,18-30,M,1,f,t,0.003125,
victims,2019,3.5,Other offences against sexual freedom,2,18-30,F,55,f,t,0.171875,
victims,2019,3.5,Other offences against sexual freedom,2,18-30,U,0,f,t,0.000000,
victims,2019,3.5,Other offences against sexual freedom,2,31-40,M,4,f,t,0.012500,
victims,2019,3.5,Other offences against sexual freedom,2,31-40,F,22,f,t,0.068750,
victims,2019,3.5,Other offences against sexual freedom,2,31-40,U,0,f,t,0.000000,
victims,2019,3.5,Other offences against sexual freedom,2,41-64,M,4,f,t,0.012500,
victims,2019,3.5,Other offences against sexual freedom,2,41-64,F,12,f,t,0.037500,
victims,2019,3.5,Other offences against sexual freedom,2,41-64,U,0,f,t,0.000000,
victims,2019,3.5,Other offences against sexual freedom,2,65+,M,1,f,t,0.003125,
victims,2019,3.5,Other offences against sexual freedom,2,65+,F,0,f,t,0.000000,
victims,2019,3.5,Other offences against sexual freedom,2,65+,U,0,f,t,0.000000,
victims,2019,3.5,Other offences against sexual freedom,2,U,M,0,f,f,0.000000,
victims,2019,3.5,Other offences against sexual freedom,2,U,F,2,f,f,0.006250,
victims,2019,3.5,Other offences against sexual freedom,2,U,U,0,f,f,0.000000,
victims,2019,4,Offences against family relations,1,0-13,M,108,f,f,0.129032,
victims,2019,4,Offences against family relations,1,0-13,F,66,f,f,0.078853,
victims,2019,4,Offences against family relations,1,0-13,U,1,f,f,0.001195,
victims,2019,4,Offences against family relations,1,14-17,M,14,f,t,0.016726,
victims,2019,4,Offences against family relations,1,14-17,F,25,f,t,0.029869,
victims,2019,4,Offences against family relations,1,14-17,U,0,f,t,0.000000,
victims,2019,4,Offences against family relations,1,18-30,M,19,f,t,0.022700,
victims,2019,4,Offences against family relations,1,18-30,F,63,f,t,0.075269,
victims,2019,4,Offences against family relations,1,18-30,U,0,f,t,0.000000,
victims,2019,4,Offences against family relations,1,31-40,M,34,f,t,0.040621,
victims,2019,4,Offences against family relations,1,31-40,F,196,f,t,0.234170,
victims,2019,4,Offences against family relations,1,31-40,U,0,f,t,0.000000,
victims,2019,4,Offences against family relations,1,41-64,M,54,f,t,0.064516,
victims,2019,4,Offences against family relations,1,41-64,F,239,f,t,0.285544,
victims,2019,4,Offences against family relations,1,41-64,U,0,f,t,0.000000,
victims,2019,4,Offences against family relations,1,65+,M,3,f,t,0.003584,
victims,2019,4,Offences against family relations,1,65+,F,8,f,t,0.009558,
victims,2019,4,Offences against family relations,1,65+,U,0,f,t,0.000000,
victims,2019,4,Offences against family relations,1,U,M,7,f,f,0.008363,
victims,2019,4,Offences against family relations,1,U,F,0,f,f,0.000000,
victims,2019,4,Offences against family relations,1,U,U,0,f,f,0.000000,
victims,2019,5,Property offences,1,0-13,M,315,f,f,0.001235,
victims,2019,5,Property offences,1,0-13,F,138,f,f,0.000541,
victims,2019,5,Property offences,1,0-13,U,1,f,f,0.000004,
victims,2019,5,Property offences,1,14-17,M,1828,f,t,0.007166,
victims,2019,5,Property offences,1,14-17,F,1454,f,t,0.005700,
victims,2019,5,Property offences,1,14-17,U,2,f,t,0.000008,
victims,2019,5,Property offences,1,18-30,M,30741,f,t,0.120510,
victims,2019,5,Property offences,1,18-30,F,33110,f,t,0.129797,
victims,2019,5,Property offences,1,18-30,U,18,f,t,0.000071,
victims,2019,5,Property offences,1,31-40,M,30349,f,t,0.118973,
victims,2019,5,Property offences,1,31-40,F,24037,f,t,0.094229,
victims,2019,5,Property offences,1,31-40,U,12,f,t,0.000047,
victims,2019,5,Property offences,1,41-64,M,60943,f,t,0.238907,
victims,2019,5,Property offences,1,41-64,F,44117,f,t,0.172946,
victims,2019,5,Property offences,1,41-64,U,25,f,t,0.000098,
victims,2019,5,Property offences,1,65+,M,13818,f,t,0.054169,
victims,2019,5,Property offences,1,65+,F,13739,f,t,0.053859,
victims,2019,5,Property offences,1,65+,U,29,f,t,0.000114,
victims,2019,5,Property offences,1,U,M,247,f,f,0.000968,
victims,2019,5,Property offences,1,U,F,102,f,f,0.000400,
