ine_code,year,crime_code,crime_count
28106,2022,SEXUAL_OTHER,37
28106,2022,ROBBERY_VIOLENT,382
28106,2022,BURGLARY,190
28106,2022,BURGLARY_DWELLING,109
28106,2022,THEFT,1558
28106,2022,VEHICLE_THEFT,91
28106,2022,DRUG_TRAFFICKING,17
28106,2022,OTHER_CONVENTIONAL,3299
28106,2022,CYBERCRIME,652
28106,2022,CYBER_FRAUD,608
28106,2022,CYBER_OTHER,44
28106,2022,TOTAL,6282
28113,2022,CONVENTIONAL,2425
28113,2022,HOM_COMPLETED,0
28113,2022,HOM_ATTEMPTED,1
28113,2022,INJURY,24
28113,2022,KIDNAPPING,0
28113,2022,SEXUAL,25
28113,2022,SEXUAL_PENETRATION,2
28113,2022,SEXUAL_OTHER,23
28113,2022,ROBBERY_VIOLENT,64
28113,2022,BURGLARY,128
28113,2022,BURGLARY_DWELLING,105
28113,2022,THEFT,871
28113,2022,VEHICLE_THEFT,23
28113,2022,DRUG_TRAFFICKING,20
28113,2022,OTHER_CONVENTIONAL,1269
28113,2022,CYBERCRIME,473
28113,2022,CYBER_FRAUD,415
28113,2022,CYBER_OTHER,58
28113,2022,TOTAL,2898
28115,2022,CONVENTIONAL,2255
28115,2022,HOM_COMPLETED,1
28115,2022,HOM_ATTEMPTED,1
28115,2022,INJURY,21
28115,2022,KIDNAPPING,1
28115,2022,SEXUAL,12
28115,2022,SEXUAL_PENETRATION,1
28115,2022,SEXUAL_OTHER,11
28115,2022,ROBBERY_VIOLENT,57
28115,2022,BURGLARY,81
28115,2022,BURGLARY_DWELLING,70
28115,2022,THEFT,920
28115,2022,VEHICLE_THEFT,79
28115,2022,DRUG_TRAFFICKING,9
28115,2022,OTHER_CONVENTIONAL,1073
28115,2022,CYBERCRIME,413
28115,2022,CYBER_FRAUD,383
28115,2022,CYBER_OTHER,30
28115,2022,TOTAL,2668
28123,2022,CONVENTIONAL,4578
28123,2022,HOM_COMPLETED,1
28123,2022,HOM_ATTEMPTED,1
28123,2022,INJURY,68
28123,2022,KIDNAPPING,0
28123,2022,SEXUAL,20
28123,2022,SEXUAL_PENETRATION,3
28123,2022,SEXUAL_OTHER,17
28123,2022,ROBBERY_VIOLENT,154
28123,2022,BURGLARY,236
28123,2022,BURGLARY_DWELLING,154
28123,2022,THEFT,1673
28123,2022,VEHICLE_THEFT,42
28123,2022,DRUG_TRAFFICKING,21
28123,2022,OTHER_CONVENTIONAL,2362
28123,2022,CYBERCRIME,848
28123,2022,CYBER_FRAUD,771
28123,2022,CYBER_OTHER,77
28123,2022,TOTAL,5426
28127,2022,CONVENTIONAL,3512
28127,2022,HOM_COMPLETED,1
28127,2022,HOM_ATTEMPTED,2
28127,2022,INJURY,54
28127,2022,KIDNAPPING,0
28127,2022,SEXUAL,32
28127,2022,SEXUAL_PENETRATION,5
28127,2022,SEXUAL_OTHER,27
28127,2022,ROBBERY_VIOLENT,84
28127,2022,BURGLARY,163
28127,2022,BURGLARY_DWELLING,142
28127,2022,THEFT,1256
28127,2022,VEHICLE_THEFT,43
28127,2022,DRUG_TRAFFICKING,14
28127,2022,OTHER_CONVENTIONAL,1863
28127,2022,CYBERCRIME,899
28127,2022,CYBER_FRAUD,823
28127,2022,CYBER_OTHER,76
